Street Name,lights
NARAYANAN STREET,6

KASTHURIBAI GANDHI NAGAR-2,1

METHA LAYOUT,10

MUTHU NAGAR,18

MAHALAKSHMI NAGAR,16

ANDAL NAGAR-2,17

LAKSHMI PURAM STREET-6,26

BALAN NAGAR,19

VELAPPAN NAGAR,7

RAJALAKSHMI NAGAR,17

KAMALA COLONY,12

KONDASAMY NAGAR,2

RANGASAMY LAYOUT,4

LAKSHMI PURAM STREET-3,10

LAKSHMI PURAM STREET,1

LAKSHMI PURAM STREET-1,9

SENNIMALAI NAGAR,5

GANDHI PUDUR,20

CHINNASAMY LAYOUT-2,12

CHINNASAMY LAYOUT,3

ANDAL NAGAR,17

GANDHI PUDUR-1,2

ANDAL NAGAR EXTENSION,3

P.S GOVINDASAMY LAYOUT,2

UPPILIPALAYAM MAIN ROAD,16

VARADHARAJAPURAM MAIN ROAD,2

VINAYAGAR NAGAR,12

INDIRA GARDEN,8

SRINIVASA GARDEN,24

BHARATH NAGAR,64

ANGAMMAL LAYOUT,19

VIVEKANANDA NAGAR,46

BANGARU LAYOUT,14

PACHAPALAYAM THOTTAM,7

AVM GARDEN,25

JOTHI NAGAR,13

KANIKONAR STREET,4

DHANAPAL LAYOUT,19

PERIYA STREET,8

N .R. NAIDU STREET,11

MADURAI VEERAN KOVIL STREET,20

MUTHU NAIDU STREET,1

VETTAIKARAN STREET,2

NEELIKONAMPALAYAM ROAD,30

KARUPAN STREET,3

MASUDHI STREET,2

VARADHARAJAPURAM MEDU SECOND STREET,3

VARADHARAJAPURAM MEDU FIRST STREET,2

RAMASAMY LAYOUT,81

R V L STREET,8

SAKKARIAR CHETTIYAR STREET,38

RAJIV MAIN ROAD,2

AMBEDKAR VEETHI,2

RAJIV GANDHI STREET,3

V K STREET,5

VIJAYALAKSHMI NAGAR,17

DHAMODHARSWAMY LAYOUT,39

DHAMODHAR SWAMY QUARTERS ROAD,6

THACHAN THOTTAM STREET,34

NORTH STREET,21

CHINNA THOTTAM STREET,8

RANGAGOUNDER STREET,3

DR.LOKIYA STREET,3

ANNAI THERESA STREET,1

M.G.R STREET,34

SAKTHI NAGAR MURUGAN KOVIL STREET,6

SAKTHI NAGAR VINAYAGAR KOVIL STREET,5

KABILAN GARDEN,3

THULASIAMMAL LAYOUT,18

